iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,YEM,0,0,0,0,0,0,0,0,12161.901,12161.901,12205.733492626952,12204.188989278271
ABW,YUG,0,0,0,0,0,0,0,0,9082.858,9082.858,9097.524950561523,9097.13423747388
ABW,ZAF,0,0,1,0,0,0,0,0,10662.36,11441.715,11325.090036401367,11313.809553824212
ABW,ZAR,0,0,0,0,0,0,0,0,9622.77,9622.77,10139.773401269531,10103.90017154342
ABW,ZMB,0,0,1,0,0,0,0,0,11267.376,11267.376,11237.002077758789,11235.770236620145
ABW,ZWE,0,0,1,0,0,0,0,0,11603.469,11603.469,11528.005636157226,11526.702919352538
AFG,ABW,0,0,0,0,0,0,0,0,13257.814,13257.814,13168.224155249023,13166.366609602872
AFG,AFG,0,0,0,0,0,0,0,0,303.76135,303.76135,269.54334936286807,90.26415234631105
AFG,AGO,0,0,0,0,0,0,0,0,7607.8,7607.8,7573.253210881042,7563.813745437967
AFG,AIA,0,0,0,0,0,0,0,0,12292.158,12292.158,12205.452240833281,12203.409834843484
AFG,ALB,0,0,0,0,0,0,0,0,4342.1167,4342.1167,4250.73758255558,4243.15020096059
AFG,AND,0,0,0,0,0,0,0,0,5806.359,5806.359,5712.403089802551,5707.325928581401
AFG,ANT,0,0,0,0,0,0,0,0,13218.259,13218.259,13004.563789307404,12995.191423496792
AFG,ARE,0,0,0,0,0,0,0,0,1813.6145,1813.6145,1657.1931029434204,1628.89835219191
AFG,ARG,0,0,0,0,0,0,0,0,15298.504,15298.504,15341.161651303863,15333.27844147897
AFG,ARM,0,0,0,0,0,0,0,0,2266.1501,2266.1501,2171.3017784361837,2155.121348598138
AFG,ATG,0,0,0,0,0,0,0,0,12297.092,12297.092,12214.32103429718,12212.199394416342
AFG,AUS,0,0,0,0,0,0,0,0,11433.487,11365.442,11086.1405715168,11020.750968757115
AFG,AUT,0,0,0,0,0,0,0,0,4568.0977,4568.0977,4567.301989565468,4557.808571393581
AFG,AZE,0,0,0,0,0,0,0,0,1822.2172,1822.2172,1821.718680044174,1796.3681031575015
AFG,BDI,0,0,0,0,0,0,0,0,5930.057,5930.057,5849.066546426201,5842.157164828004
AFG,BEL,0,0,0,0,0,0,0,0,5416.121,5416.121,5331.891731272697,5326.836644764265
AFG,BEN,0,0,0,0,0,0,0,0,7481.0063,7450.4736,7330.65706485424,7323.327350471013
AFG,BFA,0,0,0,0,0,0,0,0,7497.595,7497.595,7464.209599403,7456.055882855118
AFG,BGD,0,0,0,0,0,0,0,0,2376.9783,2376.9783,2488.6760888887407,2472.7290709774315
AFG,BGR,0,0,0,0,0,0,0,0,4043.005,4043.005,3819.042931223488,3805.976513774346
AFG,BHR,0,0,0,0,0,0,0,0,2004.4336,2004.4336,1940.4698186714172,1917.1567005537815
AFG,BHS,0,0,0,0,0,0,0,0,12518.579,12518.579,12427.122928658295,12425.31779652535
AFG,BIH,0,0,0,0,0,0,0,0,4428.6143,4428.6143,4374.7429465732575,4367.222385220572
AFG,BLR,0,0,0,0,0,0,0,0,3880.9001,3880.9001,3766.0265491303444,3755.023173565023
AFG,BLZ,0,0,0,0,0,0,0,0,13822.816,13822.816,13714.661115701294,13713.028504364984
AFG,BMU,0,0,0,0,0,0,0,0,11177.655,11177.655,11089.690947217177,11087.733681875256
AFG,BOL,0,0,0,0,0,0,0,0,15349.948,15240.552,15100.649008668517,15096.343163281448
AFG,BRA,0,0,0,0,0,0,0,0,13771.763,13470.08,13223.751917754364,13180.015344681411
AFG,BRB,0,0,0,0,0,0,0,0,12465.547,12465.547,12371.206524966812,12369.003548686622
AFG,BRN,0,0,0,0,0,0,0,0,5741.1406,5741.1406,5823.19935595951,5818.0719605847535
AFG,BTN,0,0,0,0,0,0,0,0,2103.501,2103.501,2231.2912423765183,2215.839490422701
AFG,BWA,0,0,0,0,0,0,0,0,8023.767,8023.767,7847.0917416084285,7838.708443024706
AFG,CAF,0,0,0,0,0,0,0,0,6188.3154,6188.3154,6083.534307504082,6071.669684818256
AFG,CAN,0,0,0,0,0,0,0,0,10768.887,10461.2705,10516.293079567336,10508.324909121613
AFG,CCK,0,0,0,0,0,0,0,0,5992.4653,5992.4653,,
AFG,CHE,0,0,0,0,0,0,0,0,5247.0435,5247.0435,5136.0847346887585,5129.577722523066
AFG,CHL,0,0,0,0,0,0,0,0,16353.8955,16353.8955,16262.290693626403,16257.021740040256
AFG,CHN,1,0,0,0,0,0,0,0,4180.4375,4180.4375,4434.382121147156,4369.9928541440895
AFG,CIV,0,0,0,0,0,0,0,0,8144.624,8165.9507,8067.3723958217615,8061.535679360848
AFG,CMR,0,0,0,0,0,0,0,0,6842.123,6842.123,6632.051302817154,6608.678596610923
AFG,COG,0,0,0,0,0,0,0,0,7100.583,7100.583,7110.931921916008,7100.182965119895
AFG,COK,0,0,0,0,0,0,0,0,15044.605,15044.605,15114.229491007995,15110.145540076059
AFG,COL,0,0,0,0,0,0,0,0,14288.693,14288.693,14072.28390748558,14065.929636554003
AFG,COM,0,0,0,0,0,0,0,0,5824.411,5824.411,5802.082124846458,5796.582698794528
AFG,CPV,0,0,0,0,0,0,0,0,9324.58,9324.58,9225.148191569519,9221.142343473231
AFG,CRI,0,0,0,0,0,0,0,0,14334.572,14334.572,14260.46472859497,14258.965361746088
AFG,CUB,0,0,0,0,0,0,0,0,12952.3955,12952.3955,12859.242465787123,12857.479452709857
AFG,CXR,0,0,0,0,0,0,0,0,6312.074,6312.074,,
